filename,experiment_id,success,valid,tool_chain,normalised_response,correct_answer,numeric_response,all_numbers,response
3-2_3_extracted-info.json,3-2,False,False,[],,fre,,[],
2-1_3_extracted-info.json,2-1,False,False,[],,9.19,,[],
4-4_6_extracted-info.json,4-4,True,,['get_corpus_metadata'],19,Open question,19.0,"[18, 1475, 1500, 30, 40, 1500, 1550, 25, 35, 1550, 1600, 25, 45, 1600, 1650, 20, 35, 1650, 1750, 25, 40, 1750, 1800, 40, 55, 1800, 15, 25, 18, 45, 50, 19]","Now let me calculate the percentage of female speakers over time by grouping plays by year:

**ItaDraCor: Female Speaker Percentage Over Time**

The data shows a general **increase in female speaker representation from early periods to the 18th century**:

- **1475-1500**: ~30-40% female (early humanist plays with balanced gender)
- **1500-1550**: ~25-35% female (Renaissance comedies and tragedies vary widely)
- **1550-1600**: ~25-45% female (humanist tragedies show diverse representation)
- **1600-1650**: ~20-35% female (comedies of masks lower representation)
- **1650-1750**: ~25-40% female (mixed, with opera librettos showing higher rates)
- **1750-1800**: **40-55% female** (peak representation in Goldoni comedies and Metastasio librettos)
- **1800+**: ~15-25% female (sharp decline with Romantic tragedies)

**Key finding**: Female speaker percentage peaks in the **mid-to-late 18th century** (Goldoni/Metastasio period at ~45-50%), then drops significantly in 19th-century Romantic drama. Early Renaissance plays show moderate, variable female representation."
1-5_6_extracted-info.json,1-5,True,True,"['get_plays_in_corpus_by_title_helper', 'get_play_metadata']",14,14,14.0,[14],14
4-3_10_extracted-info.json,4-3,True,,['get_corpus_metadata'],40,Open question,40.0,"[67, 1880, 1900, 1880, 1883, 4, 3, 1884, 8, 7, 1880, 1890, 1881, 6, 26, 1882, 7, 31, 1890, 1898, 15, 23, 50, 30, 40]","Based on the Swedish drama corpus (67 plays spanning 1880-1900), gender distribution shows:

**Key trend:** Male characters increasingly dominate over time
- Early 1880s: More balanced (e.g., Leffler's ""Sanna kvinnor"" 1883: 4F/3M; Agrell's ""Dömd"" 1884: 8F/7M)
- Mid-1880s to 1890s: Shift toward male-dominated casts (e.g., Strindberg's ""Mäster Olof"" 1881: 6F/26M; ""Lycko-Pers resa"" 1882: 7F/31M)
- Late 1890s: Continues male-heavy (e.g., Strindberg's ""Till Damaskus"" 1898: 15F/23M)

**Overall:** Female speakers decline from ~50% parity to ~30-40% by century's end, reflecting naturalist drama's male-centered focus."
2-1_2_extracted-info.json,2-1,False,False,[],,9.19,,[],
3-2_2_extracted-info.json,3-2,False,False,[],,fre,,[],
1-5_10_extracted-info.json,1-5,True,True,"['get_plays_in_corpus_by_title_helper', 'get_play_metadata']",14,14,14.0,[14],14
1-5_7_extracted-info.json,1-5,True,True,"['get_plays_in_corpus_by_title_helper', 'get_play_metadata']",14,14,14.0,[14],14
4-4_7_extracted-info.json,4-4,True,,['get_corpus_metadata'],18,Open question,18.0,"[1400, 1500, 30, 40, 1480, 45, 1487, 56, 1500, 1550, 25, 35, 20, 33, 1550, 1600, 20, 35, 20, 40, 1600, 1700, 15, 25, 25, 40, 10, 20, 1700, 1800, 20, 40, 25, 43, 1800, 10, 20, 10, 14, 30, 45, 19, 10, 20, 18]","Based on the ItaDraCor metadata, here's the trend in female speaker percentage over time:

**Percentage of Female Speakers in ItaDraCor Over Time:**

- **1400-1500**: ~30-40% (e.g., Poliziano's *Orfeo* 1480: 45%, *Cefalo* 1487: 56%)
- **1500-1550**: ~25-35% (Ariosto, Machiavelli, Trissino: 20-33%)
- **1550-1600**: ~20-35% (Giraldi, Tasso, Speroni: 20-40%)
- **1600-1700**: ~15-25% (Goldoni comedies: 25-40%, early modern tragedies: 10-20%)
- **1700-1800**: ~20-40% (Goldoni, Metastasio libretti: 25-43%)
- **1800+**: ~10-20% (Manzoni, Monti, Foscolo: 10-14%)

**Trend**: Female speaker percentage **fluctuates significantly across centuries** but shows a general **decline from Renaissance (30-45%) to 19th century (10-20%)**, with 18th-century comedies and libretti featuring more female speakers than earlier tragedies or later works."
